Level,Type,Vocabulary,Meaning,Emoji
N3,Noun,yomi (読み),reading (of a kanji; situation; etc),📖
N3,Noun,shounen (少年),boy; juvenile; young boy; youth; lad,👦
N3,Noun,shuukan (週間),week,📅
N3,Noun,shuu (週),week,📅
N3,Noun,honnin (本人),the person in question; the person themselves; said person,👦
N3,Noun,bunmei (文明),civilization; culture,🏛️
N3,Noun,isshun (一瞬),instant; moment; for an instant,⚡
N3,Noun,hakubutsukan (博物館),museum,🏛️
N3,Noun,bun (分),part; segment; share; ration,🧩
N3,Noun,taihan (大半),majority; more than half; most; largely; mainly,⬆️
N3,Noun,kokka (国家),state; country; nation,🌍
N3,Noun,atsumari (集まり),gathering; meeting; assembly; collection; attendance,💃
N3,Noun,kokugo (国語),national language,💬
N3,Noun,hin (品),elegance; article,🦵
N3,Noun,chouki (長期),long-term,📏
N3,Noun,kihon (基本),basics; fundamentals; basis; foundation,📐
N3,Noun,gichou (議長),chairman; president; moderator,👨
N3,Noun,kokumin (国民),people (of a country); nation; citizen; national,🌍
N3,Noun,chuugaku (中学),junior high school; middle school,🏫
N3,Noun,kyoukasho (教科書),textbook; coursebook; schoolbook,🏫
N3,Noun,nouryoku (能力),ability; faculty,💪
N3,Noun,shosai (書斎),study; library; den; home office; reading room,🏠
N3,Noun,honmono (本物),genuine article; real thing; real deal​,📦
N3,Noun,zenkoku (全国),the whole country,🌍
N3,Noun,yoake (夜明け),dawn; daybreak,🌅
N3,Noun,kokkyou (国境),national border,🌍
N3,Noun,hahaoya (母親),mother,👩
N3,Noun,shorui (書類),document; official papers,📄
N3,Noun,nihon (日本),Japan,🇯🇵
N3,Noun,kongo (今後),from now on; hereafter,⏰
N3,Noun,shouhin (商品),commodity; article of commerce; goods; stock; merchandise,✋
N3,Noun,konkai (今回),now; this time; lately,⏰
N3,Noun,gaikou (外交),diplomacy,🤝
N3,Noun,kokkai (国会),National Diet; legislative assembly of Japan; parliament; congress,🦵
N3,Noun,seinen (青年),youth; young man,👨
N3,Noun,kai'in (会員),member,👤
N3,Noun,tochi (土地),plot of land; lot; soil,🏞️
N3,Noun,yonaka (夜中),middle of the night; dead of night,🌙
N3,Noun,shihon (資本),funds; capital,💰
N3,Noun,en (円),yen; Japanese monetary unit; circle,1️⃣
N3,Noun,kimi (気味),sensation; feeling​; tendency,🎭
N3,Noun,shougo (正午),midday,📅
N3,Noun,akari (明かり),light; illumination; glow; gleam,🌍
N3,Noun,shuunyuu (収入),income; receipts; revenue; salary,👋
N3,Noun,ippou (一方),one (esp. of two); one way; the other direction; although,1️⃣
N3,Noun,kagaku (化学),chemistry,🧪
N3,Noun,kisha (記者),reporter; journalist,📰
N3,Noun,shoubai (商売),trade; business; commerce; transaction; occupation,🚌
N3,Noun,chii (地位),(social) position; status,👔
N3,Noun,shougakukin (奨学金),scholarship; stipend; student loan,🚢
N3,Noun,danshi (男子),youth; young man,👨
N3,Noun,mokuyou (木曜),Thursday,📅
N3,Noun,tetsugaku (哲学),philosophy,🤔
N3,Noun,gakki (学期),school term; semester,🏫
N3,Noun,kamoku (科目),(school) subject; curriculum; course,🏫
N3,Noun,shoujo (少女),little girl; maiden; young lady,👧
N3,Noun,shuukan (週刊),weekly publication,🐱
N3,Noun,yuube (夕べ),evening / last night; yesterday evening,🌆
N3,Noun,bunya (分野),field; sphere; realm; division; branch,🏢
N3,Noun,daibubun (大部分),most part; greater part; majority,🍽️
N3,Noun,gikai (議会),congress; parliament; diet; legislative assembly,🦵
N3,Noun,chuu (中),during; while; medium; middle,⏳
N3,Noun,gogaku (語学),study of foreign languages; linguistics,📖
N3,Noun,shokuhin (食品),food; food products,🍱
N3,Noun,deai (出会い),meeting; rendezvous; encounter,💼
N3,Noun,seihin (製品),manufactured goods; finished goods; product,👨
N3,Noun,meshi (飯),cooked rice; meal,🍽️
N3,Noun,shinchou (身長),body height; stature,🧍
N3,Noun,sakuhin (作品),work of art; performance,👨
N3,Noun,gaku (学),learning; education; study of,🐱
N3,Noun,miryoku (魅力),charm; fascination; glamour; attraction; appeal,💪
N3,Noun,yobun (余分),extra; excess; surplus,➕
N3,Other,konnichi (今日),today; this day,📅
N3,Other,hatsumei (発明),invention,💡
N3,Other,fusoku (不足),insufficiency; shortage; deficiency; lack; dearth,👂
N3,Other,manzoku (満足),satisfaction; contentment;​ sufficient; enough,✅
N3,Verb,wakeru (分ける),to divide; to split; to part; to separate,➗
N3,Verb,rieki (利益),profit; gains; benefit,📈
N3,Verb,icchi (一致),agreement; union; match​; coincidence,🪙
N3,Verb,uketoru (受け取る),to receive; to understand,📦
N3,Verb,kitai (期待),expectation; anticipation; hope,🤞
N3,Verb,shingaku (進学),entering a higher-level school (often university),🏫
N3,Verb,shoutai (招待),invitation,💌
N3,Verb,kinen (記念),commemoration; celebration; honoring the memory of something,🎊
N3,Verb,deau (出会う),to meet (by chance); to come across; to run across; to encounter,🏃
N3,Verb,shiyou (使用),use; application; employment; utilization.,🐱
N3,Verb,mikata (味方),friend; ally; supporter; taking sides with; supporting,👥
N3,Verb,kaigou (会合),meeting; assembly; gathering; association,💼
N3,Verb,kunren (訓練),training; drill; practice; discipline,🌧️
N3,Verb,yunyuu (輸入),import; importation; introduction,📥
N3,Verb,hazusu (外す),to remove; to undo; to drop; to miss,🔓
N3,Verb,tetsuya (徹夜),staying up all night,🌙
N3,Verb,seichou (成長),growth; development; growing up; becoming an adult,⬆️
N3,Verb,osameru (収める),to supply; to dedicate; to make an offering; to pay,🐱
N3,Verb,toreru (取れる),to come off; to be removed; to be obtainable,👋
N3,Verb,kyuushuu (吸収),absorption; suction; attraction,🧽
N3,Verb,kioku (記憶),memory; recollection; remembrance,🧠
N3,Verb,doryoku (努力),effort; exertion; endeavor; hard work; striving,💼
N3,Verb,bunseki (分析),analysis,🔬
N3,Verb,manabu (学ぶ),to study (in depth); to learn; to take lessons in,👂
N3,Verb,yushutsu (輸出),export; exportation​,📤
N3,Verb,kinyuu (記入),entry; filling in; filling out,✍️
N3,Verb,hanbai (販売),sales; selling; marketing,💰
N3,Verb,shoumei (証明),proof; verification; certification,🐱
N3,Verb,anki (暗記),memorization; learning by heart,👂
N3,Verb,waruguchi (悪口),slander; bad-mouthing; abuse; insult; speaking ill (of),🚌
N3,Verb,hitokoto (一言),single word; a few words; brief comment,🎤
N3,Verb,kaishi (開始),start; commencement; beginning; initiation​,⭐
N3,Verb,shuukaku (収穫),harvest; crop; fruits (of one's labors),🍎
N3,Verb,renzoku (連続),continuation; succession; series,📊
N3,Verb,gakushuu (学習),study; learning; tutorial,👂
N3,Verb,nyuujou (入場),entrance; admission; entering,🚪
N3,Verb,korobu (転ぶ),to fall down; to fall over,⬇️
N3,Verb,shigeki (刺激),stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill,🐱
N3,Verb,tsuugaku (通学),commuting to school; school commute,🏫
N3,Verb,dokusho (読書),reading,📖
N3,Verb,sayuu (左右),left and right,⬅️
N3,Verb,shuuchuu (集中),concentration; focusing; centralization; integration,🎤
N3,Verb,ryuugaku (留学),studying abroad,📖
N3,Verb,unten (運転),operation; driving,🚗
N3,Verb,gaishutsu (外出),going out; outing; leaving (one's home; office; etc.),🏠
N3,Verb,gakumon (学問),scholarship; study; learning,🚢
N3,Verb,akeru (明ける),to dawn;to become daylight,🌅
N3,Verb,ureru (売れる),to sell (well),💰
N3,Verb,toriageru (取り上げる),to pick up,⬆️
N3,Verb,kyouryoku (協力),cooperation; collaboration,🤝
N3,Verb,kiniiru (気に入る),to like; to take a liking to,👑
N4,Adjective,daiji (大事),important; serious; crucial,⭐
N4,Adjective,anshin (安心),peace of mind,😌
N4,Adjective,kanashii (悲しい),sad,😢
N4,Adjective,mezurashii (珍しい),unusual; rare,✨
N4,Adjective,hen (変),strange; peculiar; weird,🤪
N4,Adjective,yawarakai (柔らかい),soft,🧸
N4,Adjective,kyuu (急),sudden; abrupt; unexpected,⬆️
N4,Adjective,kowai (怖い),frightening,✅
N4,Adjective,fuben (不便),inconvenience,😞
N4,Adjective,tekitou (適当),suitable,🪑
N4,Adjective,taitei (たいてい),usually,💯
N4,Adjective,yasashii (優しい),kind,💕
N4,Adjective,fukai (深い),deep,🕳️
N4,Adjective,tadashii (正しい),right; correct,✅
N4,Adjective,hazukashii (恥ずかしい),embarrassed,😳
N4,Adjective,nigai (苦い),bitter,😖
N4,Adjective,ippai (いっぱい),full,🥛
N4,Adjective,katai (硬い),hard,💪
N4,Adjective,sakan (盛ん),popularity; prosperous,📈
N4,Adjective,kiken (危険),danger,⚠️
N4,Adjective,kantan (簡単),simple; easy,👍
N4,Adjective,ironna (色んな),various,🎨
N4,Adjective,hisashiburi (久しぶり),after a long time,⏰
N4,Adjective,sonna (そんな),that sort of,🎩
N4,Adjective,zannen (残念),regrettable; unfortunate,🪑
N4,Adjective,subarashii (素晴らしい),wonderful,⭐
N4,Adjective,tokubetsu (特別),special; particular; extraordinary; exceptional,⭐
N4,Adjective,komakai (細かい),small; fine,⬇️
N4,Adjective,utsukushii (美しい),beautiful,✨
N4,Adjective,muri (無理),impossible,✅
N4,Adjective,nemui (眠い),sleepy,😴
N4,Adjective,anna (あんな),such,👉
N4,Adjective,hantai (反対),opposition,🚫
N4,Adjective,juubun (十分),enough; sufficient; plenty; adequate; satisfactory,🏭
N4,Adjective,jiyuu (自由),freedom,🆓
N4,Adjective,kibishii (厳しい),strict,😠
N4,Adjective,sabishii (寂しい),lonely,1️⃣
N4,Adjective,teinei (丁寧),polite,🙇
N4,Adjective,anzen (安全),safety; security​,✅
N4,Adjective,asai (浅い),shallow,⬇️
N4,Adjective,hidoi (酷い),terrible; awful​,😱
N4,Adjective,okashii (可笑しい),strange or funny,😆
N4,Adjective,sugoi (凄い),terrific,😲
N4,Adjective,fukuzatsu (複雑),complexity; complication,🐱
N4,Adjective,ureshii (嬉しい),happy,😊
